ID,Agency Name,TikTok ID,Followers,Full Name,Domicile,UID,Phone Number,TikTok Link,Binding Status,Onboarding Date,Month,Notes
825,,boedy_woodpeker,"1,377",,,,,https://www.tiktok.com/@boedy_woodpeker,BOUND,25/09/2025,September,
826,BTC MANAGEMENT,barcinlieforefer,,Likristina,,,,https://www.tiktok.com/@barcinlieforefer,,,,
827,BTC MANAGEMENT,blackjsck_v3,,Marshel Mahendra,,,,https://www.tiktok.com/@blackjsck_v3,,,,
828,GOLDEN MAKER,boninurcahyo,"1,722",Boni Nurcahyo,,,,https://www.tiktok.com/@boninurcahyo,BOUND,07/11/2025,November,
829,HM Management,tsyaadeliaa ,,tasya adelia,,,,https://www.tiktok.com/@tsyaadeliaa ,,,,
830,HM Management,makanenak006,,DEDE IKBAL NURHIDAYAT,,,,https://www.tiktok.com/@makanenak006,BOUND,14/10/2025,October,
831,,boxercollection.id,97,,,,,https://www.tiktok.com/@boxercollection.id,BOUND,02/11/2025,November,
832,GOLDEN MAKER,rhanirosma06 ,,Sajida Rhani ,,,,https://www.tiktok.com/@rhanirosma06 ,,,,
833,HM Management,sllaquen ,,tasya adelia,,,,https://www.tiktok.com/@sllaquen ,,,,
834,,reynaldi.060,171846,Reynaldi,,,,https://www.tiktok.com/@reynaldi.060,BOUND,12/05/2025,May,
835,BTC MANAGEMENT,bundaazura77,"1,134",Tiarakurniaputri ,,,,https://www.tiktok.com/@bundaazura77,BOUND,04/11/2025,November,
836,,inimpuyyyy,,,,,,https://www.tiktok.com/@inimpuyyyy,,,,
837,GOLDEN MAKER,zelinezakeysa05 ,,Zeline Zakeysa ,,,,https://www.tiktok.com/@zelinezakeysa05 ,,,,
838,,Bundaaazura ,,,,,,https://www.tiktok.com/@Bundaaazura ,,,,
839,,cahaya_fashionbeauty,"1,302",,,,,https://www.tiktok.com/@cahaya_fashionbeauty,BOUND,04/10/2025,October,
840,,chalattew,407,,,,,https://www.tiktok.com/@chalattew,BOUND,12/11/2025,November,
841,,coffelatte5045,92,,,,,https://www.tiktok.com/@coffelatte5045,BOUND,02/11/2025,November,
842,,cutelattes079,66,,,,,https://www.tiktok.com/@cutelattes079,BOUND,16/10/2025,October,
843,GOLDEN MAKER,d3y218,"1,581",Desi Apriani Ningsih ,,,,https://www.tiktok.com/@d3y218,BOUND,06/10/2025,October,
844,,daan_101,"5,236",,,,,https://www.tiktok.com/@daan_101,BOUND,23/10/2025,October,
845,GOLDEN MAKER,dariceritanyata,"1,032",lulu wulanjanu,,,,https://www.tiktok.com/@dariceritanyata,BOUND,06/09/2025,September,
846,WH MANAGEMENT,deaameliaaaaaaaaa,"1,162",Dea amelia ,,,,https://www.tiktok.com/@deaameliaaaaaaaaa,BOUND,14/04/2025,April,
847,,dessoot,"1,018",,,,,https://www.tiktok.com/@dessoot,BOUND,07/11/2025,November,
848,,dilaluisaa,"5,265",,,,,https://www.tiktok.com/@dilaluisaa,BOUND,11/11/2025,November,
849,,diskonkuy1,"2,622",,,,,https://www.tiktok.com/@diskonkuy1,BOUND,08/10/2025,October,
850,,dndaaw20,"2,113",,,,,https://www.tiktok.com/@dndaaw20,BOUND,08/08/2025,August,
851,,lisa_putri,,,,,,https://www.tiktok.com/@lisa_putri,,,,
852,,e.yanti8,87,,,,,https://www.tiktok.com/@e.yanti8,BOUND,30/10/2025,October,
853,,ekachristiecendana,"1,092",,,,,https://www.tiktok.com/@ekachristiecendana,BOUND,24/09/2025,September,
854,,@she_laa02,,,,,,https://www.tiktok.com/@@she_laa02,,,,
855,,andrarahmad05 ,,,,,,https://www.tiktok.com/@andrarahmad05 ,,,,
856,,erlinseptiana05,1116,Erlin Septiana,,,,https://www.tiktok.com/@erlinseptiana05,BOUND,07/07/2025,July,
857,,gittaevita,1055,Gita evita,,,,https://www.tiktok.com/@gittaevita,BOUND,30/05/2025,May,
858,GOLDEN MAKER,elly.kurniati6,213,Ely kurniati ,,,,https://www.tiktok.com/@elly.kurniati6,BOUND,24/09/2025,September,
859,GOLDEN MAKER,elmatheanaamelia02,858,Elma theana amelia,,,,https://www.tiktok.com/@elmatheanaamelia02,BOUND,01/10/2025,October,
860,,nopri696,1434,Nopriyadi,,,,https://www.tiktok.com/@nopri696,BOUND,30/05/2025,May,
861,,embull99_,359,,,,,https://www.tiktok.com/@embull99_,BOUND,04/08/2025,August,
862,,Marwachstore ,,,,,,https://www.tiktok.com/@Marwachstore ,,,,
863,,esi6769,953,,,,,https://www.tiktok.com/@esi6769,BOUND,22/10/2025,October,
864,,Lenibs ,,,,,,https://www.tiktok.com/@Lenibs ,,,,
865,,hiiswifties ,,,,,,https://www.tiktok.com/@hiiswifties ,,,,
866,,citra_selly,96800,Citra Selly,,,,https://www.tiktok.com/@citra_selly,BOUND,28/05/2025,May,
867,,rixyr_,1620,Ari Setyawan,,,,https://www.tiktok.com/@rixyr_,BOUND,14/05/2025,May,
868,,https://vt.tiktok.com/ZSyWGXcyD/,,,,,,https://www.tiktok.com/@https://vt.tiktok.com/ZSyWGXcyD/,,,,
869,,Dailylifevieera,1370,Ovie noviera,,,,https://www.tiktok.com/@Dailylifevieera,BOUND,09/05/2025,May,
870,BTC MANAGEMENT,fahmi_297,"1,083",M.fahmi,,,,https://www.tiktok.com/@fahmi_297,BOUND,10/10/2025,October,
871,,Ti2n_kh,1015,Titin khotimah,,,,https://www.tiktok.com/@Ti2n_kh,BOUND,21/07/2025,July,
872,,famgorich,"2,641",,,,,https://www.tiktok.com/@famgorich,BOUND,05/06/2025,June,
873,,steventok_,,,,,,https://www.tiktok.com/@steventok_,,,,
874,,ika.damayanti548,1041,Ika damayanti,,,,https://www.tiktok.com/@ika.damayanti548,BOUND,24/07/2025,July,
875,,fbrwlndr_,"1,728",,,,,https://www.tiktok.com/@fbrwlndr_,BOUND,04/11/2025,November,
876,,ce_piaa,,,,,,https://www.tiktok.com/@ce_piaa,,,,
877,,nurhardiantihamzah,1219,Nur hardianti hamzah,,,,https://www.tiktok.com/@nurhardiantihamzah,BOUND,20/05/2025,May,
878,,aninnafiareal,1396,Anin Nafia,,,,https://www.tiktok.com/@aninnafiareal,BOUND,14/05/2025,May,
879,,febty01,153,,,,,https://www.tiktok.com/@febty01,BOUND,13/10/2025,October,
880,,gogogo0891,1103,apriza putri,,,,https://www.tiktok.com/@gogogo0891,BOUND,10/10/2025,October,
881,,ferdi_yansa12,"1,141",,,,,https://www.tiktok.com/@ferdi_yansa12,BOUND,14/11/2025,November,
882,,ratufelice88,1149,Ni Luh Putu Desi Karmani,,,,https://www.tiktok.com/@ratufelice88,BOUND,12/04/2025,April,
883,,akseraa.co,946000,Sulastri,,,,https://www.tiktok.com/@akseraa.co,BOUND,20/05/2025,May,
884,GOLDEN MAKER,frilliegenz,"12,237",Efrillia prastika ,,,,https://www.tiktok.com/@frilliegenz,BOUND,23/08/2025,August,
885,,yes.me.its_wiwin,,,,,,https://www.tiktok.com/@yes.me.its_wiwin,,,,
886,,momons_19,15900,Novita Crestiani,,,,https://www.tiktok.com/@momons_19,BOUND,20/05/2025,May,
887,,mi_apr,,,,,,https://www.tiktok.com/@mi_apr,,,,
888,,canskyy0,8799,Candra Herawan,,,,https://www.tiktok.com/@canskyy0,BOUND,07/07/2025,July,
889,,vivianti_in26,1023,Inge Oktavianti,,,,https://www.tiktok.com/@vivianti_in26,BOUND,21/07/2025,July,
890,,gede_review99,578,,,,,https://www.tiktok.com/@gede_review99,BOUND,27/09/2025,September,
891,,ayudelivia,,,,,,https://www.tiktok.com/@ayudelivia,,,,
892,,aruny_29,34000,Runi ihsani,,,,https://www.tiktok.com/@aruny_29,BOUND,09/05/2025,May,
893,,rositaresaa,6317,Resa Rosita Andriyanti,,,,https://www.tiktok.com/@rositaresaa,BOUND,02/06/2025,June,
894,,ghiskashakayla,"3,456",,,,,https://www.tiktok.com/@ghiskashakayla,BOUND,19/09/2025,September,
895,,cathyyyyy88,1100,Cathyyyyy88,,,,https://www.tiktok.com/@cathyyyyy88,BOUND,17/07/2025,July,
896,,_rereanjani,2003,Retno Anjali,,,,https://www.tiktok.com/@_rereanjani,BOUND,13/05/2025,May,
897,,gifariahmad7,10,,,,,https://www.tiktok.com/@gifariahmad7,BOUND,04/11/2025,November,
898,,Shopipie,1642,Shopi,,,,https://www.tiktok.com/@Shopipie,BOUND,09/05/2025,May,
899,,fitriana.82,5078,,,,,https://www.tiktok.com/@fitriana.82,BOUND,20/06/2025,June,
900,,riskeu7134,182000,Riskeu Tamara,,,,https://www.tiktok.com/@riskeu7134,BOUND,09/07/2025,July,
901,,nidayah_,1001,Nidayah Baharuddin,,,,https://www.tiktok.com/@nidayah_,BOUND,08/05/2025,May,
902,,me.cahaya,109400,Nurhidayah,,,,https://www.tiktok.com/@me.cahaya,BOUND,03/06/2025,June,
903,,jejealfi1104,,,,,,https://www.tiktok.com/@jejealfi1104,,,,
904,,vhii1130,1300,Novita Sari Kusmawaty zebua,,,,https://www.tiktok.com/@vhii1130,BOUND,11/07/2025,July,
905,,livefootball010696,1000,Makmun,,,,https://www.tiktok.com/@livefootball010696,BOUND,11/07/2025,July,
906,,lizerboy4,6000,Umaedi,,,,https://www.tiktok.com/@lizerboy4,BOUND,16/07/2025,July,
907,HM Management,gila.review,"1,178",Bobi Suganda,,,,https://www.tiktok.com/@gila.review,BOUND,21/10/2025,October,
908,,kak_nop,1416,Nopriyadi,,,,https://www.tiktok.com/@kak_nop,BOUND,09/05/2025,May,
909,,glen_arshadeva,9766,Widiawati,,,,https://www.tiktok.com/@glen_arshadeva,BOUND,17/07/2025,July,
910,,iwan.stw_official,10100,Iwan,,,,https://www.tiktok.com/@iwan.stw_official,BOUND,17/07/2025,July,
911,,glenwidi ,,,,,,https://www.tiktok.com/@glenwidi ,,,,
912,,Mpii1812 ,,,,,,https://www.tiktok.com/@Mpii1812 ,,,,
913,,haniprtw_,"4,663",,,,,https://www.tiktok.com/@haniprtw_,BOUND,09/11/2025,November,
914,,mif_2705,99000,Miftahudin,,,,https://www.tiktok.com/@mif_2705,BOUND,21/11/2024,November,
915,,barilmu ,,,,,,https://www.tiktok.com/@barilmu ,,,,
916,,blackjack_v3,6033,Marshel Mahendra,,,,https://www.tiktok.com/@blackjack_v3,BOUND,17/07/2025,July,
917,,springmoon96,1043,Ayu Seri Rezeki,,,,https://www.tiktok.com/@springmoon96,BOUND,12/07/2025,July,
918,,ermachan_,2107,Erma karlina,,,,https://www.tiktok.com/@ermachan_,,,,
919,,masqirman94 ,,,,,,https://www.tiktok.com/@masqirman94 ,,,,
920,,hesti.ny,"2,062",,,,,https://www.tiktok.com/@hesti.ny,BOUND,22/09/2025,September,
921,,maumau99_,21291,MMaulana Malik,,,,https://www.tiktok.com/@maumau99_,BOUND,14/05/2025,May,
922,,ayangaku99_,1205,MMAULANA MALIK,,,,https://www.tiktok.com/@ayangaku99_,BOUND,14/05/2025,May,
923,,ikbar_nb1,"70,678",,,,,https://www.tiktok.com/@ikbar_nb1,BOUND,02/08/2025,August,
924,,83slldewjj0,1814,Muslika,,,,https://www.tiktok.com/@83slldewjj0,BOUND,14/07/2025,July,
925,HM Management,ima_astriani,"5,752",Ima Astriani,,,,https://www.tiktok.com/@ima_astriani,BOUND,26/10/2025,October,
926,,tanilhusna24,3000,Tanil Husna,,,,https://www.tiktok.com/@tanilhusna24,BOUND,08/05/2025,May,
927,,ingi_via26,44,,,,,https://www.tiktok.com/@ingi_via26,BOUND,07/11/2025,November,
928,,lakunasenja,1046,ARI YUNITA ADISTI,,,,https://www.tiktok.com/@lakunasenja,BOUND,11/07/2025,July,
929,,strawbeyrose,2195,Dewi Rohmadani,,,,https://www.tiktok.com/@strawbeyrose,BOUND,09/05/2025,May,
930,,ayuseptisaputri,1002,Ayuseptisaputri,,,,https://www.tiktok.com/@ayuseptisaputri,BOUND,16/07/2025,July,
931,,ininonaa.yuliaa,"15,904",,,,,https://www.tiktok.com/@ininonaa.yuliaa,BOUND,07/11/2025,November,
932,,qiasplspil,,,,,,https://www.tiktok.com/@qiasplspil,,,,
933,,chachayulisyah,2195,Yulisyah Apriyani Ar,,,,https://www.tiktok.com/@chachayulisyah,BOUND,24/07/2025,July,
934,,irenkamsan,396,,,,,https://www.tiktok.com/@irenkamsan,BOUND,07/11/2025,November,
935,,its.michiko,"1,174",,,,,https://www.tiktok.com/@its.michiko,BOUND,09/09/2025,September,
936,,chairul_ak,"7,186",,,,,https://www.tiktok.com/@chairul_ak,BOUND,05/11/2024,November,
937,,ranitarahayu272,"1,764",,,,,https://www.tiktok.com/@ranitarahayu272,BOUND,04/03/2025,March,
938,,anggitrianadewi,"1,067",,,,,https://www.tiktok.com/@anggitrianadewi,BOUND,08/11/2025,November,
939,,lampu7070,"1,381",,,,,https://www.tiktok.com/@lampu7070,BOUND,14/11/2025,November,
940,,wowalaala,"1,026",,,,,https://www.tiktok.com/@wowalaala,BOUND,12/11/2025,November,
941,,shellalesti,"2,325",,,,,https://www.tiktok.com/@shellalesti,BOUND,16/07/2025,July,
942,,raden_ronggo78,"1,060",,,,,https://www.tiktok.com/@raden_ronggo78,BOUND,,,
943,,rizaldi.prasetya8,992,,,,,https://www.tiktok.com/@rizaldi.prasetya8,BOUND,17/11/2025,November,
944,,anakkuli4h,"1,332",,,,,https://www.tiktok.com/@anakkuli4h,BOUND,,,
945,,.rehan.tea,"8,642",,,,,https://www.tiktok.com/@.rehan.tea,BOUND,03/10/2025,October,
946,,nurnurandini18,"1,027",,,,,https://www.tiktok.com/@nurnurandini18,BOUND,18/11/2025,November,
947,,iciiiku,"1,143",,,,,https://www.tiktok.com/@iciiiku,BOUND,,,
948,,melamei_,"1,002",,,,,https://www.tiktok.com/@melamei_,BOUND,,,
949,,theonlyokta_,"2,744",,,,,https://www.tiktok.com/@theonlyokta_,BOUND,02/10/2025,October,
950,,happyy712,"1,589",,,,,https://www.tiktok.com/@happyy712,BOUND,,,
951,,bocill_276,"1,757",,,,,https://www.tiktok.com/@bocill_276,BOUND,,,
952,,meilin.putri05,"1,352",,,,,https://www.tiktok.com/@meilin.putri05,BOUND,27/08/2025,August,
953,,watimawaddah,"3,078",,,,,https://www.tiktok.com/@watimawaddah,BOUND,30/05/2025,May,
954,,hercin16,"9,474",,,,,https://www.tiktok.com/@hercin16,BOUND,11/05/2025,May,
955,,riakenra,"1,060",,,,,https://www.tiktok.com/@riakenra,BOUND,18/11/2025,November,
956,,ndoro_putri17,"1,351",,,,,https://www.tiktok.com/@ndoro_putri17,BOUND,15/11/2025,November,
957,,zairaa2011,"1,762",,,,,https://www.tiktok.com/@zairaa2011,BOUND,,,
958,,azzah.audi04,"1,374",,,,,https://www.tiktok.com/@azzah.audi04,BOUND,10/02/2025,February,
959,,_tongkosong_,"1,096",,,,,https://www.tiktok.com/@_tongkosong_,BOUND,14/11/2025,November,
960,,masahmad093,"2,339",,,,,https://www.tiktok.com/@masahmad093,BOUND,08/09/2025,September,
961,,asiatialleya,"13,890",,,,,https://www.tiktok.com/@asiatialleya,BOUND,10/09/2025,September,
962,,kresyatha,"1,864",,,,,https://www.tiktok.com/@kresyatha,BOUND,18/11/2025,November,
963,,ichanurull,"3,422",,,,,https://www.tiktok.com/@ichanurull,BOUND,,,
964,,mindaa03,"1,813",,,,,https://www.tiktok.com/@mindaa03,BOUND,07/11/2025,November,
965,,assareall,"1,887",,,,,https://www.tiktok.com/@assareall,BOUND,,,
966,,zrwindi,"1,072",,,,,https://www.tiktok.com/@zrwindi,BOUND,16/11/2025,November,
967,,wahyujaketungu,"1,278",,,,,https://www.tiktok.com/@wahyujaketungu,BOUND,21/10/2025,October,
968,,dailyleya2,6,,,,,https://www.tiktok.com/@dailyleya2,BOUND,,,
969,,desstyanaa,"1,061",,,,,https://www.tiktok.com/@desstyanaa,BOUND,15/11/2025,November,
970,,kopikarameeel,"1,078",,,,,https://www.tiktok.com/@kopikarameeel,BOUND,02/10/2025,October,
971,,cingmager_,610,,,,,https://www.tiktok.com/@cingmager_,BOUND,12/11/2025,November,
972,,lilizcynthia,"2,066",,,,,https://www.tiktok.com/@lilizcynthia,BOUND,13/02/2025,February,
973,,lilyy.ww2,"1,014",,,,,https://www.tiktok.com/@lilyy.ww2,BOUND,15/11/2025,November,
974,,putriiftrz_,"1,032",,,,,https://www.tiktok.com/@putriiftrz_,BOUND,12/11/2025,November,
975,,1.imean,"8,002",,,,,https://www.tiktok.com/@1.imean,BOUND,17/11/2025,November,
976,,eni0427,932,,,,,https://www.tiktok.com/@eni0427,BOUND,26/09/2025,September,
977,,ce_piaaa,998,,,,,https://www.tiktok.com/@ce_piaaa,BOUND,12/11/2025,November,
978,,calevan91,"1,298",,,,,https://www.tiktok.com/@calevan91,BOUND,22/07/2025,July,
979,,bebann.ayangg,"1,340",,,,,https://www.tiktok.com/@bebann.ayangg,BOUND,20/10/2025,October,
980,,liaariyanti96,"1,791",,,,,https://www.tiktok.com/@liaariyanti96,BOUND,08/11/2025,November,
981,,.aellsaa,"1,149",,,,,https://www.tiktok.com/@.aellsaa,BOUND,30/08/2025,August,
982,,abee1013,"986,487",,,,,https://www.tiktok.com/@abee1013,BOUND,,,
983,,rahmasuciayu__,"43,745",,,,,https://www.tiktok.com/@rahmasuciayu__,BOUND,,,
984,,me_review19,"10,965",,,,,https://www.tiktok.com/@me_review19,BOUND,12/11/2025,November,
985,,denriszvt,"1,044",,,,,https://www.tiktok.com/@denriszvt,BOUND,05/11/2025,November,
986,,rafa260222,"4,395",,,,,https://www.tiktok.com/@rafa260222,BOUND,22/07/2025,July,
987,,mulyasari0508,"1,615",,,,,https://www.tiktok.com/@mulyasari0508,BOUND,26/09/2025,September,
988,,heidyfitriani,"1,365",,,,,https://www.tiktok.com/@heidyfitriani,BOUND,07/10/2025,October,
989,,istofia.dvy,"1,451",,,,,https://www.tiktok.com/@istofia.dvy,BOUND,17/12/2024,December,
990,,nabilahdnp1998,162,,,,,https://www.tiktok.com/@nabilahdnp1998,BOUND,08/06/2025,June,
991,,fitrianf23,"1,397",,,,,https://www.tiktok.com/@fitrianf23,BOUND,06/05/2025,May,
992,,bhan_28,"1,258",,,,,https://www.tiktok.com/@bhan_28,BOUND,10/11/2025,November,
993,,jajanan_ku123,"1,336",,,,,https://www.tiktok.com/@jajanan_ku123,BOUND,04/10/2025,October,
994,,lie_pad_ma,"2,234",,,,,https://www.tiktok.com/@lie_pad_ma,BOUND,04/11/2025,November,
995,,_linda121,687,,,,,https://www.tiktok.com/@_linda121,BOUND,24/10/2025,October,
996,,hamta.ro,"11,960",,,,,https://www.tiktok.com/@hamta.ro,BOUND,17/06/2025,June,
997,,_diniii23,302,,,,,https://www.tiktok.com/@_diniii23,BOUND,16/11/2025,November,
998,,17.fr_,"1,162",,,,,https://www.tiktok.com/@17.fr_,BOUND,,,
999,,chlorita_29,"18,644",,,,,https://www.tiktok.com/@chlorita_29,BOUND,02/07/2025,July,
1000,,ika.yuliyaningsih,"3,781",,,,,https://www.tiktok.com/@ika.yuliyaningsih,BOUND,02/07/2025,July,
1001,,vennywjy,"166,479",,,,,https://www.tiktok.com/@vennywjy,BOUND,27/05/2025,May,
1002,,brownsugarbobass,"17,200",,,,,https://www.tiktok.com/@brownsugarbobass,BOUND,24/08/2025,August,
1003,,akusitukangreview,"1,487",,,,,https://www.tiktok.com/@akusitukangreview,BOUND,10/05/2025,May,
1004,GOLDEN MAKER,itsmeputriazhar,"2,235",Putri Andriani ,,,,https://www.tiktok.com/@itsmeputriazhar,BOUND,27/09/2025,September,
1005,,endahwulandari91,"1,311",,,,,https://www.tiktok.com/@endahwulandari91,BOUND,05/11/2025,November,
1006,,septiaulandari6,"1,089",,,,,https://www.tiktok.com/@septiaulandari6,BOUND,14/11/2025,November,
1007,,dewifili,918,,,,,https://www.tiktok.com/@dewifili,BOUND,10/11/2025,November,
1008,,skyclaude8,"1,106",,,,,https://www.tiktok.com/@skyclaude8,BOUND,,,
1009,,septikatika5,209,,,,,https://www.tiktok.com/@septikatika5,BOUND,04/11/2025,November,
1010,,privarieee,"1,152",,,,,https://www.tiktok.com/@privarieee,BOUND,14/11/2025,November,
1011,,thorrr244,4,,,,,https://www.tiktok.com/@thorrr244,BOUND,,,
1012,,rehvvki,"1,012",,,,,https://www.tiktok.com/@rehvvki,BOUND,17/11/2025,November,
1013,,jawsz07,955,,,,,https://www.tiktok.com/@jawsz07,BOUND,07/09/2025,September,
1014,,sarinovita114,"1,248",,,,,https://www.tiktok.com/@sarinovita114,BOUND,18/07/2025,July,
1015,,ontymell09,"1,601",,,,,https://www.tiktok.com/@ontymell09,BOUND,06/10/2025,October,
1016,,niaab26,"1,276",,,,,https://www.tiktok.com/@niaab26,BOUND,28/10/2025,October,
1017,,faulina.rdy,"9,171",,,,,https://www.tiktok.com/@faulina.rdy,BOUND,09/11/2025,November,
1018,,aftri_af20,35,,,,,https://www.tiktok.com/@aftri_af20,BOUND,,,
1019,,pinkiieeess,"3,065",,,,,https://www.tiktok.com/@pinkiieeess,BOUND,12/08/2025,August,
1020,,ocaa2081,"1,032",,,,,https://www.tiktok.com/@ocaa2081,BOUND,07/11/2025,November,
1021,,aufawfa97,"2,058",,,,,https://www.tiktok.com/@aufawfa97,BOUND,14/05/2025,May,
1022,,langalba2,"1,214",,,,,https://www.tiktok.com/@langalba2,BOUND,29/09/2025,September,
1023,,spalspill_r,"1,007",,,,,https://www.tiktok.com/@spalspill_r,BOUND,08/11/2025,November,
1024,,embakkuebalok,"1,944",,,,,https://www.tiktok.com/@embakkuebalok,BOUND,15/09/2025,September,
1025,,mahainaroom,"1,725",,,,,https://www.tiktok.com/@mahainaroom,BOUND,11/05/2025,May,
1026,,alesha_pao,88,,,,,https://www.tiktok.com/@alesha_pao,BOUND,06/11/2025,November,
1027,,abi_manyusetiawan,523,,,,,https://www.tiktok.com/@abi_manyusetiawan,BOUND,02/11/2025,November,
1028,,happyholiday083,"1,190",,,,,https://www.tiktok.com/@happyholiday083,BOUND,08/11/2025,November,
1029,,xixiyo13,"1,091",,,,,https://www.tiktok.com/@xixiyo13,BOUND,10/11/2025,November,
1030,,nagi021203,"1,094",,,,,https://www.tiktok.com/@nagi021203,BOUND,07/11/2025,November,
1031,,santi.mbem_,"15,384",,,,,https://www.tiktok.com/@santi.mbem_,BOUND,09/11/2025,November,
1032,,rinni..10,"1,107",,,,,https://www.tiktok.com/@rinni..10,BOUND,07/11/2025,November,
1033,,ria_rizki14,979,,,,,https://www.tiktok.com/@ria_rizki14,BOUND,09/11/2025,November,
1034,,pilotkita1,"1,780",,,,,https://www.tiktok.com/@pilotkita1,BOUND,07/11/2025,November,
1035,,fitrifebriyani.35,618,,,,,https://www.tiktok.com/@fitrifebriyani.35,BOUND,,,
1036,,jelajahjajan1,"1,513",,,,,https://www.tiktok.com/@jelajahjajan1,BOUND,16/10/2025,October,
1037,,kang.nanang0,"18,406",,,,,https://www.tiktok.com/@kang.nanang0,BOUND,23/10/2025,October,
1038,,siaciiii,"1,305",,,,,https://www.tiktok.com/@siaciiii,BOUND,09/11/2025,November,
1039,,naralaba3,"24,767",,,,,https://www.tiktok.com/@naralaba3,BOUND,07/11/2025,November,
1040,,kenzined28,"1,134",,,,,https://www.tiktok.com/@kenzined28,BOUND,28/09/2025,September,
1041,,wahyuutami745,319,,,,,https://www.tiktok.com/@wahyuutami745,BOUND,07/11/2025,November,
1042,,nivalestarisurningsih,"1,438",,,,,https://www.tiktok.com/@nivalestarisurningsih,BOUND,10/05/2025,May,
1043,,lestariniva,"2,987",,,,,https://www.tiktok.com/@lestariniva,BOUND,10/05/2025,May,
1044,,delima_0909,525,,,,,https://www.tiktok.com/@delima_0909,BOUND,04/11/2025,November,
1045,,kerudseler,90,,,,,https://www.tiktok.com/@kerudseler,BOUND,04/11/2025,November,
1046,,andririzkiramadan,257,,,,,https://www.tiktok.com/@andririzkiramadan,BOUND,05/11/2025,November,
1047,,nadhifaalmairaaaa24,"9,147",,,,,https://www.tiktok.com/@nadhifaalmairaaaa24,BOUND,09/11/2025,November,
1048,,brendavheerin,"1,976",,,,,https://www.tiktok.com/@brendavheerin,BOUND,17/07/2025,July,
1049,,mthnrsbrn,"1,649",,,,,https://www.tiktok.com/@mthnrsbrn,BOUND,03/07/2024,July,
1050,,gado_gado21,736,,,,,https://www.tiktok.com/@gado_gado21,BOUND,,,
1051,,nana_shopz93,"1,317",,,,,https://www.tiktok.com/@nana_shopz93,BOUND,26/08/2025,August,
1052,,sindidameliaputri,65,,,,,https://www.tiktok.com/@sindidameliaputri,BOUND,07/11/2025,November,
1053,,rhanirosma06,"3,225",,,,,https://www.tiktok.com/@rhanirosma06,BOUND,07/11/2025,November,
1054,,moh_agus_n_s,"3,069",,,,,https://www.tiktok.com/@moh_agus_n_s,BOUND,15/06/2025,June,
1055,,bakoel_kayujati,"3,071",,,,,https://www.tiktok.com/@bakoel_kayujati,BOUND,13/08/2025,August,
